,100s,4 Wickets in Inn,50s,Balls Faced,Balls_Average,Bat_Average,Bowl_Strike_rate,Ducks,Economy_Rate,Innings,Maidens,Matches,Not Outs,Opening Batting,Overs,Runs,Runs_Conceded,Strike Rate,Wickets,performance
691,0,0,0,43,37.11,10,43.33,0,5.14,4,4,9,2,0,65,20,334,46.51,9,65
692,0,0,4,502,0,31,0,2,0,15,0,17,2,1,1,403,0,80.28,0,42
693,0,0,0,160,46.33,12.44,51.83,0,5.36,10,0,11,1,0,51.5,112,278,70,6,54
694,0,0,3,777,0,20.44,0,3,0,29,0,31,2,13,0,552,0,71.04,0,20
695,0,1,0,89,40.72,2,43.67,5,5.6,15,4,18,7,0,131,16,733,17.98,18,60
696,0,0,0,40,37.43,3,46.14,1,4.87,7,3,8,3,0,53.5,12,262,30,7,66
697,0,0,0,11,157,0.5,126,1,7.48,2,2,3,0,0,21,1,157,9.09,1,5
698,0,0,2,339,0,24.5,0,2,0,13,0,13,1,12,2,294,0,86.73,0,29
699,0,0,0,92,0,12,0,1,0,3,0,3,0,3,1,36,0,39.13,0,14
700,0,4,0,151,24.53,5.58,34.92,1,4.21,16,16,25,4,0,221.1,67,932,44.37,38,91
701,0,0,0,25,46,14,68.4,0,4.04,3,4,6,2,0,57,14,230,56,5,54
702,0,0,0,3,0,2,0,0,5.06,1,0,2,0,0,16,2,81,66.67,0,4
703,0,0,0,8,0,0,0,0,4.3,1,0,1,1,0,10,0,43,0,0,0
704,0,0,0,43,0,24,0,0,7.43,2,0,2,1,0,7,24,52,55.81,0,28
705,0,0,5,1473,40.2,27.08,49.8,5,4.84,51,9,59,15,2,290.3,975,1407,66.19,35,60
706,0,0,0,31,0,6,0,1,0,2,0,2,0,0,1,12,0,38.71,0,8
707,0,0,2,567,0,19.31,0,1,0,16,0,16,0,13,2,309,0,54.5,0,20
708,0,1,0,270,55.44,13.5,66.06,1,5.04,18,4,24,6,0,198.1,162,998,60,18,45
709,0,0,0,0,50,0,54,0,5.56,0,1,1,0,0,9,0,50,0,1,50
710,0,0,0,68,0,19,0,0,0,2,0,2,0,2,0,38,0,55.88,0,20
711,0,0,0,771,82.18,19.52,99.45,3,4.96,27,6,29,2,3,182.2,488,904,63.29,11,20
712,0,0,0,88,0,23,0,0,0,2,0,2,0,2,0,46,0,52.27,0,26
713,0,0,0,2,0,0,0,1,5.9,1,1,1,0,0,10,0,59,0,0,0
714,0,0,0,64,57.33,12.67,80,1,4.3,4,3,4,1,0,40,38,172,59.38,3,43
715,0,0,0,18,0,5,0,0,0,1,0,1,0,1,0,5,0,27.78,0,7
716,0,0,8,1245,0,27.23,0,2,6,47,0,51,7,0,5,1089,30,87.47,0,34
717,0,0,0,45,116,9,173,1,4.02,3,4,3,2,0,28.5,9,116,20,1,6
718,0,0,0,2,20,1,42,0,2.86,1,1,1,0,0,7,1,20,50,1,94
719,0,0,0,80,33.46,42.5,43,0,4.67,10,8,12,8,0,93.1,85,435,106.25,13,70
720,0,6,0,441,26.47,11,38.48,8,4.13,45,35,65,12,0,590,363,2435,82.31,92,86
721,0,0,0,13,19.6,0,36,0,3.27,1,5,3,1,0,30,0,98,0,5,95
722,0,0,0,141,44.8,26,58.8,0,4.57,7,3,9,3,0,49,104,224,73.76,5,56
723,0,1,0,940,40.97,15.6,53.38,3,4.61,53,37,81,13,0,569.2,624,2622,66.38,64,60
